------------------------------------------------
Total value: 14141
Total cost: 10741

0  101 1
1  110 10
2  122 22
3  147 47
4  191 91
5  200 100
6  219 119
7  222 122
8  223 123
9  239 139
10  287 187
11  311 211
12  332 232
13  347 247
14  376 276
15  405 305
16  425 325
17  431 331
18  447 347
19  456 356
20  461 361
21  467 367
22  507 407
23  527 427
24  539 439
25  563 463
26  586 486
27  622 522
28  654 554
29  689 589
30  713 613
31  727 627
32  745 645
33  750 650

Time to completion: 0.001 seconds.
