------------------------------------------------
Total value: 841559
Total cost: 706559

0  1001 1
1  1046 46
3  1079 79
6  1158 158
8  1174 174
9  1208 208
10  1237 237
14  1269 269
32  1618 618
35  1694 694
36  1705 705
37  1767 767
44  1880 880
45  1922 922
74  2496 1496
75  2496 1496
79  2542 1542
96  2881 1881
98  2923 1923
99  2940 1940
101  3020 2020
105  3082 2082
106  3095 2095
107  3101 2101
108  3115 2115
109  3116 2116
110  3123 2123
111  3241 2241
128  3631 2631
129  3660 2660
130  3684 2684
131  3722 2722
132  3723 2723
136  3943 2943
138  3989 2989
140  4003 3003
141  4004 3004
142  4017 3017
143  4099 3099
163  4537 3537
164  4545 3545
168  4603 3603
169  4624 3624
170  4636 3636
171  4678 3678
172  4678 3678
173  4680 3680
174  4701 3701
175  4717 3717
193  5041 4041
200  5239 4239
201  5241 4241
202  5276 4276
204  5292 4292
205  5378 4378
206  5411 4411
207  5426 4426
225  5829 4829
227  5939 4939
228  5977 4977
229  5977 4977
231  6001 5001
232  6014 5014
233  6038 5038
234  6104 5104
236  6155 5155
237  6178 5178
238  6192 5192
239  6197 5197
256  6483 5483
259  6525 5525
260  6541 5541
262  6582 5582
267  6654 5654
269  6680 5680
292  7062 6062
294  7101 6101
295  7111 6111
296  7119 6119
299  7158 6158
300  7174 6174
301  7181 6181
303  7191 6191
323  7679 6679
324  7681 6681
325  7685 6685
326  7689 6689
331  7812 6812
332  7814 6814
333  7830 6830
334  7861 6861
335  7873 6873
353  8145 7145
355  8173 7173
357  8226 7226
360  8308 7308
361  8312 7312
363  8331 7331
364  8356 7356
365  8359 7359
366  8360 7360
367  8367 7367
387  8751 7751
392  8965 7965
394  9052 8052
396  9100 8100
397  9110 8110
398  9117 8117
399  9119 8119
416  9305 8305
417  9323 8323
418  9337 8337
419  9347 8347
420  9356 8356
426  9544 8544
427  9554 8554
428  9576 8576
448  9885 8885
454  9922 8922
458  10109 9109
459  10123 9123
460  10129 9129
461  10141 9141
462  10164 9164
484  10504 9504
486  10516 9516
490  10645 9645
491  10665 9665
494  10681 9681
495  10710 9710
507  10898 9898
508  10910 9910
509  10937 9937
510  10963 9963
511  10970 9970

Time to completion: 621.849 seconds.
