------------------------------------------------
Total value: 14399
Total cost: 11099

0  101 1
1  110 10
2  122 22
3  147 47
4  191 91
5  200 100
6  219 119
7  222 122
8  223 123
9  239 139
10  287 187
11  311 211
12  332 232
13  347 247
14  376 276
15  405 305
16  425 325
17  431 331
18  447 347
19  456 356
20  461 361
21  467 367
22  507 407
24  539 439
25  563 463
26  586 486
29  689 589
30  713 613
32  745 645
33  750 650
39  876 776
42  938 838
43  974 874

Time to completion: 1.705 seconds.
