------------------------------------------------
Total value: 40719
Total cost: 31619

0  101 1
1  110 10
2  122 22
3  131 31
4  147 47
5  154 54
6  179 79
7  182 82
8  187 87
9  191 91
10  197 97
11  199 99
12  200 100
13  201 101
14  201 101
15  212 112
16  219 119
17  222 122
18  223 123
19  229 129
20  237 137
21  239 139
22  257 157
23  278 178
24  287 187
25  301 201
26  304 204
27  305 205
28  311 211
29  326 226
30  326 226
31  326 226
32  327 227
33  332 232
34  340 240
35  341 241
36  342 242
37  347 247
38  348 248
39  350 250
40  376 276
41  381 281
42  396 296
43  405 305
44  425 325
45  431 331
46  437 337
47  447 347
48  448 348
49  456 356
50  461 361
51  467 367
52  467 367
53  471 371
54  491 391
55  492 392
56  507 407
57  510 410
58  527 427
59  539 439
60  563 463
61  572 472
62  575 475
63  575 475
64  586 486
65  609 509
66  613 513
67  622 522
68  630 530
69  637 537
70  637 537
71  654 554
72  684 584
73  689 589
74  694 594
75  697 597
76  709 609
77  713 613
78  713 613
79  727 627
80  736 636
81  741 641
82  742 642
83  745 645
84  750 650
85  752 652
86  775 675
87  790 690
88  805 705
103  919 819
127  1100 1000

Time to completion: 600 seconds.
